Name,Answer
CRAIG GUY STACY SANTANA,GYYA
GERALD MCKNIGHT KATRINA CARPENTER,DTAR
LOIS JACKSON BRENDA SHAW,SNAW
DEBORAH JONES CAROL CAIN,HSLN
MARCUS DOMINGUEZ JESSE SEXTON,SZEN
MARVIN SEXTON DOROTHY BYERS,NNYS
ERIC MCDANIEL GREGORY SANFORD,CLYD
ERNEST RIOS IDA LEVY,TSAY
RANDALL MACDONALD DOROTHY LEONARD,LDYD
CHARLENE COLLIER MARION MORENO,ERNO
JORDAN SPARKS DEBBIE LAWSON,NSEN
MARSHALL SYKES KENT HOLDEN,LSTN
FRANCES MAYER JESSE HUBBARD,SRED
MARGIE ROJAS MIGUEL ROBERSON,ESLN
IRENE MILLER CLAIRE FISCHER,ERER
IVAN LE ALLAN HANEY,NENY
SHEILA MERRITT GWENDOLYN WEBER,ATNR
JANE SHEPPARD KRISTEN PETERS,EDNS
BRIAN BENDER CLAYTON MULLEN,NRNN
HENRY HUNTER RYAN HAYDEN,YRNN
GABRIEL ROACH ALFREDO WEBER,LHOR
MARVIN AGUILAR CHARLIE MCLEOD,NRED
JANICE GROSS JOHN COLE,ESNE
MICHAEL FOLEY AGNES FISHER,LYSR
JOHN DELGADO RONNIE MORENO,NOEO
DORA WHITFIELD MARSHA NAVARRO,ADAO
EVELYN GUERRERO LAURIE EVANS,NOES
EVELYN CHANDLER CHAD MITCHELL,NRDL
RUBEN CHAMBERS HILDA COBB,NSAB
LORRAINE CARDENAS BILLY CARR,ESYR
CARLA MASSEY FRANCIS CHURCH,AYSH
VIVIAN MACIAS MABEL CLEMENTS,NSLS
DARRELL LOVE JOAN WILDER,LENR
MARGARET COFFEY MISTY WELCH,TYYH
ALVIN VAUGHAN DOLORES KEY,NNSY
SARA PICKETT ERIK LANGLEY,ATKY
JOSEPHINE REEVES JEREMY RICHMOND,ESYD
LEON MORRIS DIANA CARR,NSAR
JEFFERY SCHULTZ JONATHAN CLEMENTS,YZNS
COLLEEN KERR TERESA WOOD,NRAD
JULIO VELAZQUEZ APRIL DUKE,OZLE
KATHLEEN DAVENPORT MIRIAM SPENCE,NTME
FRED MENDEZ WILLARD YATES,DZDS
COREY JOHNSON MARION CARTER,YNNR
EDGAR PENNINGTON DEBRA GAINES,RNAS
BILLIE MEDINA RICHARD HOBBS,EADS
WILLIE COBB LARRY ROJAS,EBYS
SARA WARD BRAD JONES,ADDS
MELVIN DALE PATSY HEBERT,NEYT
JENNIFER ROCHA OLGA ACEVEDO,RAAO
JUAN JOHNSON DORA HUNT,NNAT
BERNICE WRIGHT RITA SOTO,ETAO
KATHRYN GILMORE FERNANDO BEASLEY,NEOY
DAWN BRITT LYDIA HOLT,NTAT
LANCE GARRETT CARLOS CRAFT,ETST
GLEN HAMMOND GERTRUDE NORRIS,NDES
JENNIE MORAN GRACE VARGAS,ENES
CARRIE GOMEZ BILLY CALHOUN,EZYN
ENRIQUE RUSSO LLOYD OCHOA,EODA
EDNA KLINE DOROTHY LINDSAY,AEYY
MAX HART ALICE MADDEN,XTEN
TOM RUSH FREDERICK JOYCE,MHKE
GENE VANCE AMY FIELDS,EEYS
MAUREEN SMITH DIANNE GOFF,NHEF
JO DEJESUS SUSAN CONTRERAS,OSNS
EDNA CASTRO ROSE WEISS,AOES
MARCIA STEELE DARLENE PATRICK,AEEK
NICHOLAS GRIFFITH KATHERINE BRADLEY,SHEY
JOAN LOWERY ROSE WADE,NYEE
nan LITTLE ADRIAN HANSON,nENN
CARLA MALDONADO TARA GRIMES,AOAS
VIVIAN ROSE JERRY HICKMAN,NEYN
JAMIE BAIRD VERNON CRAFT,EDNT
EDNA MORROW WILLARD MADDOX,AWDX
COREY FRYE TOMMY FERRELL,YEYL
JOE CARSON GLEN KENT,ENNT
RYAN ENGLAND CRYSTAL WRIGHT,NDLT
REBECCA SANDERS LARRY DELACRUZ,ASYZ
TIM WARE LEROY CASTRO,MEYO
DEREK WILCOX DUANE ZIMMERMAN,KXEN
CASEY CASEY VERA ZAMORA,YYAA
ALBERT LUCAS KYLE PATE,TSEE
ANDREW ALLISON TRACY BARRY,WNYY
ALICE HINES TYRONE MCCARTHY,ESEY
LEAH MORRISON DAVID ALVARADO,HNDO
MICHAEL LANGLEY MELINDA BLACKWELL,LYAL
ASHLEY BURCH HEATHER GILLESPIE,YHRE
TOM MANNING BONNIE MOODY,MGEY
EILEEN FARLEY BECKY PALMER,NYYR
PENNY GARRETT SUE WOLFE,YTEE
WILLIAM ELLIOTT CATHERINE SIMMONS,MTES
DIANA BROOKS LONNIE RANDALL,ASEL
ANGEL CHRISTENSEN LEONA TUCKER,LNAR
JAY RICE RUBEN PACHECO,YENO
TERRY GOFF JACK LANE,YFKE
WALLACE ENGLISH TERRY HILL,EHYL
STANLEY CARROLL ESTHER BURCH,YLRH
ROY BARRY ASHLEY ABBOTT,YYYT
VICTORIA BURRIS KATRINA ALLEN,ASAN
BRITTANY MALONE TARA DURHAM,YEAM
TERESA JACOBSON VIOLA HUBER,ANAR
RITA HEATH RICARDO ARMSTRONG,AHOG
STEVEN MCMILLAN LENA CHRISTENSEN,NNAN
LUCILLE BURKS YVONNE DURHAM,ESEM
JEROME HUFF RAMONA SCHWARTZ,EFAZ
nan OCHOA NATHAN BENJAMIN,nANN
ALMA PEARSON CLAYTON FORD,ANND
MAUREEN LEONARD MICHEAL GILBERT,NDLT
FREDERICK HAYNES ERIC STEPHENSON,KSCN
LESTER MONTOYA JOY BUCKNER,RAYR
JASON CLEVELAND ROBERT STEIN,NDTN
ELEANOR HAWKINS ALLAN MAYS,RSNS
ALVIN GEORGE BETH RICHARDSON,NEHN
WILLIAM LINDSAY JACKIE OSBORN,MYEN
GLORIA BRADFORD GLENDA JARVIS,ADAS
JOANN DUNN ROSEMARY MORROW,NNYW
MATTIE NEWTON ALBERT LUNA,ENTA
KAREN WEBER CONSTANCE YANG,NREG
ALLAN HOOD MARGIE PERRY,NDEY
TYLER TREVINO MARSHALL WARD,ROLD
IRENE JENNINGS SHELLY BROWN,ESYN
MICHELE CONTRERAS EDITH DONALDSON,ESHN
LAURA SANTIAGO EDGAR COOLEY,AORY
ANDREA WILKINS MARK AVILA,ASKA
DANA JOYCE TROY GENTRY,AEYY
MITCHELL TAYLOR GEORGIA ALEXANDER,LRAR
DARLENE DUNCAN ALBERTO LEONARD,ENOD
BONNIE FRENCH DENNIS FIELDS,EHSS
MAE SANTIAGO KEN MASSEY,EONY
SHANE BROWNING SAMANTHA CALLAHAN,EGAN
JESSICA DONOVAN ANITA FOLEY,ANAY
CHESTER FAULKNER TIM TAYLOR,RRMR
NICHOLAS FUENTES MARILYN TRAN,SSNN
RAFAEL WEBB FRANKLIN SPEARS,LBNS
RAY HAYES DAVE LOPEZ,YSEZ
WENDY INGRAM HUGH MONROE,YMHE
MAUREEN WEEKS GEORGIA STEIN,NSAN
KRISTEN COLE THELMA ROBERTSON,NEAN
DEREK BUSH SHARON HESS,KHNS
ELAINE HOWARD JEFFERY MENDEZ,EDYZ
JOSHUA DIXON SUZANNE DAUGHERTY,ANEY
FRANCES HARDIN RONNIE CARTER,SNER
GORDON SPENCER JANE SNYDER,NRER
ETHEL HICKMAN CINDY WATTS,LNYS
LEAH HENDERSON SHANNON ERICKSON,HNNN
MABEL MULLINS DEBRA FRANKS,LSAS
MARSHA LANG JILL MCKAY,AGLY
BECKY HUDSON LISA VINSON,YNAN
AUDREY HANSEN PHILLIP LONG,YNPG
SHERRI LEWIS GREG ERICKSON,ISGN
LEO BURTON ERIK LINDSAY,ONKY
NELLIE MERRITT IDA MALONE,ETAE
EVERETT JOHNSTON PAMELA RIOS,TNAS
ERIC BYRD DARREN PERRY,CDNY
SHANNON PETERSON CHRIS LARSON,NNSN
BRADLEY WASHINGTON GAIL ROBBINS,YNLS
NATHAN HUFF MARVIN NICHOLS,NFNS
MARSHALL PHILLIPS RAMON THOMPSON,LSNN
MELANIE HORN ARNOLD FLEMING,ENDG
COURTNEY MILLER BRETT PATTERSON,YRTN
CAROL BULLOCK MISTY SNIDER,LKYR
CHARLOTTE WOODS BRADLEY LINDSEY,ESYY
ANNIE DUFFY EVERETT RICH,EYTH
MITCHELL LEWIS CHRISTIAN CUMMINGS,LSNS
KRISTIN BLACK TRAVIS RUSSELL,NKSL
ALICIA MORTON MARVIN LOTT,ANNT
SHIRLEY WALKER CASSANDRA OCHOA,YRAA
SONIA NORRIS RAFAEL PRINCE,ASLE
CLYDE POWELL TIMOTHY PICKETT,ELYT
SCOTT WEEKS WALLACE KENNEDY,TSEY
FRANK BARRY PATRICK DOTSON,KYKN
KATHY MAYS EUGENE MCKINNEY,YSEY
EDNA KRAMER FREDDIE NORTON,AREN
LEONA NEWMAN JULIA RUSH,ANAH
THEODORE DOTSON CARMEN CARVER,ENNR
MARIE THOMPSON DARRELL RUSH,ENLH
JOHNNIE ROSS CURTIS FRAZIER,ESSR
JUDITH FLOWERS BERTHA GIBSON,HSAN
JOHNNIE FARLEY COURTNEY MALONE,EYYE
BERNICE STOKES SIDNEY RIDDLE,ESYE
ANGELA SHEPPARD BILLY WEISS,ADYS
TIFFANY MCKEE LEE DELGADO,YEEO
STEVE BRIGGS NATHAN PRESTON,ESNN
CHERYL WHITLEY KYLE WALLS,LYES
TIFFANY LINDSEY ROLAND WEBSTER,YYDR
FREDERICK LONG RON TRAN,KGNN
JILL BUCK HEATHER GILMORE,LKRE
TAMMY SANDERS VIVIAN QUINN,YSNN
HEIDI RICHARDSON JUDY OSBORNE,INYE
HERBERT TALLEY ROSE FLEMING,TYEG
JULIE KING ARMANDO JEFFERSON,EGON
JENNIE GARRETT VELMA BASS,ETAS
WILMA BECK ANDREA BURT,AKAT
GLENDA BRADFORD FELICIA SARGENT,ADAT
DALE HAMPTON JACQUELINE THOMAS,ENES
JULIA ROLLINS LONNIE VALDEZ,ASEZ
ZACHARY MACIAS ANN LOTT,YSNT
REGINALD HUMPHREY MARGARET OWENS,DYTS
JACK GILLIAM JEFFERY RILEY,KMYY
MARIA HOUSE SHAWN ENGLISH,AENH
RODNEY WILKINS TERRENCE FRANKS,YSES
NINA PITTS RICARDO HENRY,ASOY
CORY VANG KARL SLOAN,YGLN
BRUCE CHANDLER TARA GILLESPIE,ERAE
ELEANOR KNIGHT CHARLIE HAYNES,RTES
GILBERT CLINE HELEN WALKER,TENR
ENRIQUE FITZPATRICK ANNIE DELANEY,EKEY
RENE KIDD BESSIE VALDEZ,EDEZ
JACKIE FINCH JOY ATKINSON,EHYN
CARRIE BAKER EVELYN AUSTIN,ERNN
CAROLYN VALDEZ ANNETTE DILLON,NZEN
KYLE NAVARRO GABRIEL LLOYD,EOLD
BERTHA POTTS RUSSELL GARRETT,ASLT
LEONA BRYANT BETTY STANLEY,ATYY
CRYSTAL BURTON NORA SHAW,LNAW
PATRICIA MENDEZ MIRIAM BLAKE,AZME
GUY LANE WARREN HORNE,YENE
MABEL SKINNER JOANNE BURTON,LREN
MIKE BARNES RUTH LEONARD,ESHD
MARCIA WATSON LEONA HAYS,ANAS
TOM AGUILAR JON MEADOWS,MRNS
JOEL VAUGHN HERBERT STAFFORD,LNTD
JIMMIE GALLAGHER HERBERT SOSA,ERTA
ALLEN VAUGHAN JANET FAULKNER,NNTR
EDUARDO BERNARD ROSE MORTON,ODEN
ERICA EMERSON PETER FINCH,ANRH
STEPHEN FLETCHER JOANN ALBERT,NRNT
ELLEN HARMON JANICE ODOM,NNEM
SAMUEL CHANDLER FLOYD BATTLE,LRDE
ALLISON STEWART KIMBERLY TYLER,NTYR
GERTRUDE WOOTEN OLGA JACOBS,ENAS
ENRIQUE NEWMAN JOYCE TERRY,ENEY
BRUCE RICE JUSTIN PARRISH,EENH
STEVEN THOMAS TYRONE SEARS,NSES
ANITA DICKERSON GEORGE GATES,ANES
BRITTANY SERRANO MIRIAM ROTH,YOMH
VICKIE BULLOCK JEFFERY LUNA,EKYA
MARIAN OCONNOR NELLIE PAUL,NREL
ROGER HILL MARCIA POWELL,RLAL
PEDRO BUCHANAN HARRY COLE,ONYE
VANESSA BATES MARION BARTON,ASNN
BRENDA TRAN KENT OLSON,ANTN
GORDON CHAMBERS LORRAINE SEXTON,NSEN
GLADYS SAWYER NATHAN MATTHEWS,SRNS
ANN HESS RICKY TILLMAN,NSYN
JOEL SANFORD SHANE AUSTIN,LDEN
THERESA TORRES BEATRICE MATHEWS,ASES
PAULA CANTU CAROLYN BRAY,AUNY
BRADLEY JENSEN JULIE MARQUEZ,YNEZ
RUTH UNDERWOOD HENRY WILEY,HDYY
DWIGHT BURNETT PAULINE KINNEY,TTEY
JOE EWING SETH MARSH,EGHH
JIM SANDOVAL BERNARD HOLT,MLDT
TRAVIS TUCKER JUAN VELEZ,SRNZ
ROY MORRIS LESLIE GREEN,YSEN
CLYDE ESPINOZA APRIL NIELSEN,EALN
ARLENE JUSTICE TROY MOSS,EEYS
BARRY ALFORD AMANDA SILVA,YDAA
SALVADOR MEYERS TROY MCFARLAND,RSYD
VIRGINIA BURGESS TAMARA RUTLEDGE,ASAE
SHIRLEY EATON WESLEY BLANKENSHIP,YNYP
JO CHAVEZ YOLANDA SANTOS,OZAS
MYRTLE RILEY JESSIE ESPINOZA,EYEA
WILLIE COOLEY YOLANDA GREER,EYAR
TERRANCE PERRY RUBEN DAY,EYNY
ROSEMARY ROSS TERRENCE OCONNOR,YSER
LAURIE SHERMAN MARTIN CONTRERAS,ENNS
PRISCILLA MANN MELINDA RAMSEY,ANAY
LAUREN CABRERA VERA RICE,NAAE
FRED MADDOX LESLIE KOCH,DXEH
BERNICE ALFORD PEGGY FISCHER,EDYR
CASEY JIMENEZ JASON BURT,YZNT
BERNARD WEAVER DAN REID,DRND
GERALD GROSS ANGELA ZAMORA,DSAA
BONNIE MCCOY EILEEN MARTINEZ,EYNZ
FLORENCE HAWKINS RICKY MCCLAIN,ESYN
LOIS GORDON LAURA HANCOCK,SNAK
LEON PARRISH JULIA HARMON,NHAN
LUIS BYRD JEROME POLLARD,SDED
BESSIE SLOAN VICKIE SAVAGE,ENEE
ROGER EWING JOHN REYNOLDS,RGNS
CRAIG CLAYTON BESSIE FUENTES,GNES
ERICA WOOD ALICIA ROBINSON,ADAN
MAX STEWART IAN ESTES,XTNS
RICKY VALDEZ GENE ESTES,YZES
DANIEL FLEMING WILMA MCGEE,LGAE
EMMA WALLER COREY CLAYTON,ARYN
CHARLES ACOSTA JAVIER THORNTON,SARN
CLINTON MACDONALD CLAUDE GILBERT,NDET
CHESTER RUTLEDGE ROBERTO BROCK,REOK
PHILIP BARNES ALEX HARTMAN,PSXN
THOMAS KELLER TRACY CORTEZ,SRYZ
AUDREY STRONG JAVIER HARDING,YGRG
PEDRO CHEN BRADLEY BASS,ONYS
LEONARD LAWSON EMMA GROSS,DNAS
TROY WILLIAM JAMIE FULLER,YMER
BERNICE LUNA ANA ATKINSON,EAAN
VICTOR WEAVER JOAN MCLAUGHLIN,RRNN
PAULINE RODRIGUEZ LORRAINE BALDWIN,EZEN
CHAD MCCARTY LORI OBRIEN,DYIN
DERRICK MORENO VERA HERMAN,KOAN
KEVIN DUNN CARLA GILLIAM,NNAM
KEVIN HOLDEN DON RODGERS,NNNS
KEITH CARROLL JANICE SELLERS,HLES
HARRY GUTHRIE FRED VASQUEZ,YEDZ
FELICIA LYNCH PHILIP ARMSTRONG,AHPG
FLORENCE HOPKINS THELMA THOMPSON,ESAN
MARION GARRISON IRMA BEST,NNAT
NELLIE BRANCH CLAIRE GOOD,EHED
GEORGIA MATTHEWS SETH CROSBY,ASHY
ADAM MCKAY DOROTHY LANCASTER,MYYR
BRUCE WEST AMANDA HOLDER,ETAR
WALLACE COCHRAN TOMMY PUGH,ENYH
LEONA LAMBERT TARA EVANS,ATAS
RENE MCMAHON VICKIE STEELE,ENEE
EDWARD PERKINS TRACY MEJIA,DSYA
RANDY LOGAN SHELLY GALLEGOS,YNYS
TERRENCE KERR PAULA MCKINNEY,ERAY
REBECCA MCCRAY LISA NELSON,AYAN
RACHEL BRADFORD VICKIE LYNN,LDEN
JACK GREGORY JOSEPHINE COFFEY,KYEY
SEAN SANCHEZ CARMEN BRADSHAW,NZNW
MAURICE MCCULLOUGH STACY PAGE,EHYE
ANITA MAYER OLGA KENNEDY,ARAY
CLYDE HENDRICKS ELIZABETH BERRY,ESHY
RICHARD AGUIRRE LESLIE HUTCHINSON,DEEN
BRITTANY ROACH TODD BURKS,YHDS
CLAUDE DIAZ BENJAMIN POWELL,EZNL
JANET OCONNOR ANNA BRENNAN,TRAN
MARTIN BERG REGINALD FRANKLIN,NGDN
JENNIE BUSH BRAD REESE,EHDE
SAMUEL REYES JEANETTE SHEPARD,LSED
BEATRICE SARGENT EMMA HUBBARD,ETAD
JUDITH RIVERA JESSE HILL,HAEL
GEORGIA CROSS SHEILA GILL,ASAL
RAMON GRANT VICKIE RUIZ,NTEZ
JANE ALVAREZ RHONDA SPENCE,EZAE
JAMIE TRAVIS GUY WILKINSON,ESYN
HECTOR CAIN MILTON MCCONNELL,RNNL
CHARLES FRANKS LLOYD CAMERON,SSDN
MATHEW GARRISON JOHNNY WHITLEY,WNYY
DARREN RICHARDS DELORES CALDERON,NSSN
SALLY BRUCE JIM HOLCOMB,YEMB
TERRENCE PAYNE LEON SIMMONS,EENS
DOUGLAS SOSA JOHNNIE DANIELS,SAES
SHANE CRUZ MARC ROCHA,EZCA
CLINTON CLARK ALVIN BELL,NKNL
TIM MARSH GREGORY MACDONALD,MHYD
DARLENE CONLEY JAVIER GARDNER,EYRR
KARL MCKAY ALLEN COMBS,LYNS
GLADYS PECK MORRIS HIGGINS,SKSS
ARTHUR MORROW JULIA AGUILAR,RWAR
ROLAND WARD THEODORE MERCER,DDER
MICHELE ODONNELL GAIL MOLINA,ELLA
PEDRO BOND ALEXANDER WOOTEN,ODRN
NORMAN HENRY MICHELLE KIRKLAND,NYED
LESTER WEBER BOBBIE BARTLETT,RRET
ALMA MEJIA BERNARD SCOTT,AADT
ALLAN LEVY TIFFANY RUTLEDGE,NYYE
NORA MCMAHON CLARA HORTON,ANAN
RONALD BROWN LILLIE MAY,DNEY
GLENDA HUMPHREY APRIL STEPHENS,AYLS
ASHLEY MOLINA DANNY DALTON,YAYN
JUSTIN POLLARD DANIELLE SHIELDS,NDES
EDGAR VASQUEZ JESSIE CONTRERAS,RZES
JESSIE CASTRO KRISTIN VINSON,EONN
JANE GALLEGOS JUDY FARRELL,ESYL
BOBBY MONTOYA SONIA BELL,YAAL
ETHEL ROMERO MARIA HEATH,LOAH
ANA HARMON JEANETTE WALSH,ANEH
TERESA PUCKETT JAMES GUTHRIE,ATSE
FLOYD KLINE DOROTHY KEITH,DEYH
JEFF GROSS ETHEL BALLARD,FSLD
VICKIE COTE DARREN ACEVEDO,EENO
ALFREDO BEST LENA CALHOUN,OTAN
ASHLEY WASHINGTON IDA VELASQUEZ,YNAZ
SANDRA BEARD SALVADOR SNIDER,ADRR
RUBEN GIBSON WAYNE ESTES,NNES
HELEN ALBERT TERRENCE PENNINGTON,NTEN
IDA WALLACE ANNETTE CANNON,AEEN
RALPH HODGE JENNIE JEFFERSON,HEEN
RUTH BRIGHT LEON MALDONADO,HTNO
SIDNEY CONLEY JENNIFER ROSARIO,YYRO
JONATHAN MCKAY JOHNNIE FRANKS,NYES
MARK STOKES HARVEY MCFARLAND,KSYD
ROSE COPELAND OSCAR CHAMBERS,EDRS
SALLY HALE CAROLE ONEAL,YEEL
CHERYL DILLON NICOLE KNAPP,LNEP
LEROY PARKS KRISTINA MILLER,YSAR
BRANDY BEAN GREGORY VALENCIA,YNYA
CONNIE HURST JUSTIN SMITH,ETNH
MARIA VELEZ KRISTIN ORTEGA,AZNA
JULIA NOEL FELICIA LEVY,ALAY
BARRY HOUSE LEONA BUCKLEY,YEAY
SARA GUERRA SHAWN DEJESUS,AANS
MELISSA DENNIS MICHEAL DAUGHERTY,ASLY
MELANIE BARRY CATHY LAMB,EYYB
CHARLOTTE ROWLAND AUDREY JOHNS,EDYS
NELSON CLEVELAND ENRIQUE WOOD,NDED
NEIL SHORT STACY FRY,LTYY
CHAD HOWE GERALDINE RICHARD,DEED
LUCY HARDY HUGH BUCK,YYHK
CARRIE EVERETT OSCAR KERR,ETRR
AARON WILDER ROSEMARY LARSEN,NRYN
MONICA CARNEY MICHEAL KELLY,AYLY
JEFFERY LARSON TODD HANSEN,YNDN
BEN CRUZ KATHRYN BARTON,NZNN
REGINALD OLSON BEN SMITH,DNNH
BOBBY PENA MONICA JOSEPH,YAAH
DANIELLE MULLEN KELLY WALTERS,ENYS
DANIELLE CASTILLO MINNIE CLEVELAND,EOED
TIFFANY SANCHEZ PRISCILLA HARRIS,YZAS
MIRIAM NOEL IVAN TANNER,MLNR
CHRISTOPHER MASSEY CLARENCE FLOWERS,RYES
LISA GREGORY IRENE DANIEL,AYEL
KAREN ROBLES PAMELA BYRD,NSAD
LYNN WATERS DONNA BALDWIN,NSAN
ANN RICH KIMBERLY GUERRERO,NHYO
GINA HARRISON nan RILEY,ANnY
ISAAC MATTHEWS BILL GUERRA,CSLA
LORI MOSES JOSEPHINE COBB,ISEB
GLORIA CAMACHO CARLA DAVID,AOAD
ALEX ROGERS JULIO MERCADO,XSOO
DOLORES BAXTER GARY BRAY,SRYY
PAULA STANLEY DORIS CALDERON,AYSN
DARREN RANDOLPH SETH WASHINGTON,NHHN
JACOB WILKINSON ALLEN ACEVEDO,BNNO
DEANNA POOLE LOUISE RASMUSSEN,AEEN
PAULA TANNER DORA MARQUEZ,ARAZ
VALERIE VANCE nan SAUNDERS,EEnS
HERMAN KENT KELLY LANE,NTYE
VERA MERRILL KATIE BOOTH,ALEH
KYLE RICE BRADLEY NASH,EEYH
HAROLD KRAMER VIVIAN JOSEPH,DRNH
IRMA INGRAM MAURICE SIMON,AMEN
RAUL BURNS BRITTANY HOOPER,LSYR
PAULINE BLACKWELL WILLARD NEAL,ELDL
VICTOR MCDOWELL RHONDA DUNCAN,RLAN
AARON DOWNS REGINA RIVAS,NSAS
IRMA RIVERA MELVIN SHANNON,AANN
MARGIE BERGER GERALD KRAMER,ERDR
LOUIS MULLEN DARLENE SOLIS,SNES
PATSY HULL CLAUDE RANDALL,YLEL
SHANNON GUZMAN MARION SHERMAN,NNNN
RITA FOWLER GAIL VELASQUEZ,ARLZ
EVERETT MORTON NANCY SCHULTZ,TNYZ
STANLEY SALAS JOSEPH CHRISTIAN,YSHN
DARRYL OWEN NORMAN CARLSON,LNNN
JIM ROCHA FRED CAMACHO,MADO
CYNTHIA HOBBS EDWARD KRAMER,ASDR
NELLIE WALLACE DALE HULL,EEEL
LINDA MILLS ARLENE CARLSON,ASEN
ELLA ROCHA BILLIE MOONEY,AAEY
JESUS RICE KAY OLSEN,SEYN
DONALD SLATER RYAN LE,DRNE
KENT BARTON ANDRE CONLEY,TNEY
PHYLLIS ESTRADA MICHEAL MANNING,SALG
IVAN HAYDEN DENNIS LANDRY,NNSY
ROSEMARY STANLEY EUGENE GREEN,YYEN
IRMA HINES DUSTIN GARCIA,ASNA
EILEEN RATLIFF JEFF GUERRERO,NFFO
LESLIE WILEY REGINA FRANCIS,EYAS
CLARA MCKEE DAISY DIAZ,AEYZ
JAMIE SALAS TONYA HURLEY,ESAY
LORETTA PUGH LUIS ONEIL,AHSL
TED CASE DENISE SWEET,DEET
KIM HOPPER ERIC LLOYD,MRCD
MATHEW GRANT TAMARA AVERY,WTAY
BETH MCINTOSH GERALDINE JOHNSON,HHEN
RODNEY GRIFFITH LYDIA MONROE,YHAE
HECTOR MCLEAN CHRISTIAN ESTRADA,RNNA
HILDA BARRETT ALLEN GLENN,ATNN
RENEE HARPER CATHERINE HOLT,ERET
BEN SHORT DOROTHY SANTOS,NTYS
BOB FITZGERALD JOHNNY BERGER,BDYR
NAOMI ELLIS JULIO GREENE,ISOE
CHRISTOPHER SPARKS TINA MCINTOSH,RSAH
MELANIE JAMES LILLIAN GONZALEZ,ESNZ
NINA GAMBLE RENE MANN,AEEN
JARED FLETCHER MICHEAL BUTLER,DRLR
TODD PRUITT KATHRYN BUCK,DTNK
MARSHALL CRUZ KIRK ROCHA,LZKA
CHAD MORALES KATHERINE NICHOLSON,DSEN
EDWARD BENSON DARRYL LANDRY,DNLY
DEAN PIERCE LAURIE GOFF,NEEF
JESSICA LEWIS MARIE PRICE,ASEE
WARREN NAVARRO JACQUELINE DELANEY,NOEY
JOSEPH MCDOWELL FLOYD BLAKE,HLDE
PATRICK RIVERA DUANE EVANS,KAES
EDWARD NEWMAN FELICIA SHARPE,DNAE
BRIAN BLACK SHIRLEY HENDRIX,NKYX
MICHEAL FOLEY CHARLENE ROSE,LYEE
VERNON BRADSHAW DON ROWE,NWNE
DANNY GUZMAN RYAN MYERS,YNNS
JEANETTE POWERS BRADLEY STAFFORD,ESYD
LISA DRAKE TAMARA SCHNEIDER,AEAR
ANTONIO FRANKS TERRY BLEVINS,OSYS
ANTHONY HUGHES IRENE RAY,YSEY
ROLAND KERR SHERRY BOYER,DRYR
JESSICA MOON ALICIA FORD,ANAD
